CustomerID,Age,Gender,City,Employment_Type,Annual_Income,Credit_Score,Tenure_Months,Avg_Monthly_Balance,Balance_Change_Ratio,Mobile_App_Logins,UPI_Transactions,ATM_Withdrawals,NetBanking_Usage,Complaint_Tickets,Call_Center_Interactions,Has_Credit_Card,Has_Loan,Has_Insurance,Churn
IB046491,26,Male,Ghaziabad,Retired,445700.0,,96,5630.0,0.0173,14.0,19.0,1.0,3.0,1.0,0.0,1,0,0,1
IB028413,65,Female,Mumbai,Salaried,689800.0,694.0,133,50010.0,0.0052,,,,,0.0,3.0,0,1,1,0
IB009485,46,Female,Pune,Self_Employed,,701.0,156,16990.0,-0.1369,12.0,10.0,3.0,3.0,0.0,0.0,0,0,1,0
IB020155,40,Male,Faridabad,Salaried,452400.0,723.0,129,29790.0,-0.1476,10.0,18.0,2.0,3.0,2.0,1.0,1,0,0,1
IB022791,58,Female,Pune,Salaried,996100.0,717.0,150,43250.0,0.1396,4.0,7.0,3.0,4.0,3.0,2.0,1,0,0,0
IB021707,66,Female,Agra,Student,167600.0,654.0,134,9500.0,-0.1152,,,5.0,,0.0,2.0,0,0,0,0
IB031489,34,Female,Mumbai,Salaried,1062600.0,687.0,150,70320.0,-0.0482,4.0,19.0,2.0,8.0,0.0,2.0,0,0,0,0
IB038325,58,Male,Kolkata,Salaried,944100.0,668.0,102,,,9.0,12.0,3.0,8.0,0.0,4.0,0,0,0,1
IB047749,26,Female,Bengaluru,Salaried,568000.0,702.0,32,36830.0,0.126,14.0,13.0,3.0,6.0,0.0,4.0,0,1,0,0
IB005990,39,Female,Visakhapatnam,Salaried,573800.0,661.0,134,56780.0,0.164,12.0,11.0,1.0,6.0,3.0,5.0,1,0,0,0
IB021416,46,Male,Jaipur,Salaried,497200.0,600.0,116,26450.0,-0.1144,10.0,15.0,0.0,1.0,0.0,0.0,0,1,1,0
IB016058,31,Female,Chennai,Salaried,648200.0,655.0,80,76230.0,-0.1459,11.0,5.0,5.0,4.0,0.0,5.0,1,1,0,0
IB008155,60,Female,Rajkot,Salaried,795500.0,723.0,103,,,8.0,8.0,8.0,3.0,3.0,4.0,0,0,0,0
IB004885,34,Male,Indore,Salaried,538400.0,693.0,150,35600.0,-0.0477,16.0,16.0,5.0,7.0,5.0,3.0,1,1,0,0
IB040472,59,Female,Pune,Business,,719.0,148,126480.0,-0.0807,6.0,24.0,1.0,5.0,1.0,1.0,0,1,1,0
IB033396,48,Female,Delhi,Salaried,983000.0,729.0,166,40770.0,0.0197,4.0,3.0,0.0,5.0,0.0,2.0,1,0,1,0
IB006446,46,Male,Madurai,Salaried,1003600.0,618.0,137,,,8.0,20.0,3.0,9.0,0.0,3.0,1,0,0,0
IB001970,21,Male,Nagpur,Student,215900.0,554.0,36,13730.0,-0.119,15.0,16.0,0.0,7.0,0.0,2.0,0,0,0,0
IB025149,41,Male,Ahmedabad,Salaried,863100.0,752.0,206,12220.0,-0.5738,9.0,7.0,1.0,6.0,6.0,3.0,0,0,1,0
IB013028,68,Male,Indore,Salaried,758000.0,693.0,141,,,,,11.0,,0.0,1.0,0,0,1,0
IB003494,24,Female,Delhi,Salaried,770300.0,695.0,61,45180.0,-0.1291,12.0,15.0,4.0,10.0,1.0,,0,0,0,0
IB003786,64,Male,Mumbai,Salaried,967200.0,663.0,195,16640.0,0.2364,,,2.0,,4.0,3.0,0,0,1,0
IB019069,29,Male,Nashik,Salaried,1240900.0,748.0,95,,,10.0,18.0,1.0,9.0,0.0,1.0,1,1,0,0
IB018865,26,Female,Noida,Salaried,772300.0,587.0,69,104180.0,-0.0533,9.0,17.0,2.0,6.0,2.0,5.0,0,1,0,0
IB037736,21,Female,Lucknow,Salaried,509500.0,,24,45580.0,-0.0754,13.0,8.0,2.0,10.0,1.0,2.0,0,0,1,0
IB006735,30,Male,Srinagar,Student,202900.0,509.0,108,10410.0,0.1818,10.0,12.0,,3.0,1.0,2.0,0,0,0,1
IB012820,33,Male,Madurai,Salaried,542600.0,705.0,69,38660.0,-0.025,9.0,15.0,,2.0,1.0,4.0,0,0,0,1
IB004906,25,Male,Nagpur,Retired,198100.0,,84,23470.0,-0.0814,6.0,17.0,3.0,10.0,2.0,3.0,0,0,0,0
IB021354,71,Male,Amritsar,Salaried,578700.0,718.0,156,23600.0,-0.0892,,,,,0.0,2.0,1,1,1,0
IB029156,40,Male,Howrah,Retired,341700.0,634.0,139,11040.0,-0.1631,9.0,9.0,1.0,1.0,,,1,0,0,0
IB043811,60,Male,Pune,Salaried,575600.0,617.0,96,25750.0,-0.1047,7.0,3.0,,2.0,2.0,2.0,1,0,0,0
IB004244,36,Male,Hyderabad,Business,,624.0,128,46420.0,0.2234,5.0,13.0,,4.0,0.0,,0,0,1,1
IB030995,71,Female,Bengaluru,Self_Employed,,638.0,109,19370.0,0.2139,,,4.0,,1.0,0.0,1,0,1,0
IB015620,32,Male,Jaipur,Business,1035200.0,674.0,144,57930.0,0.2086,9.0,16.0,6.0,16.0,,1.0,1,1,1,0
IB015678,68,Female,Noida,Self_Employed,719600.0,692.0,115,61480.0,-0.0678,,,8.0,,0.0,2.0,1,0,0,0
IB028362,60,Female,Kolkata,Salaried,865200.0,591.0,119,57490.0,-0.2059,1.0,5.0,3.0,5.0,1.0,2.0,1,0,0,1
IB002991,56,Male,Agra,Student,277400.0,696.0,121,1340.0,-0.6602,3.0,7.0,1.0,2.0,4.0,7.0,0,0,1,1
IB032539,55,Female,Coimbatore,Retired,226700.0,650.0,123,1120.0,-0.2243,8.0,6.0,8.0,2.0,0.0,3.0,1,0,0,1
IB007100,28,Female,Ahmedabad,Salaried,393500.0,574.0,116,26350.0,0.0814,7.0,17.0,,4.0,1.0,,0,0,0,0
IB003254,53,Male,Amritsar,Salaried,613600.0,620.0,142,36600.0,0.0113,7.0,9.0,7.0,4.0,1.0,1.0,1,0,0,0
IB042170,41,Male,Agra,Retired,277000.0,630.0,105,14940.0,-0.1034,7.0,15.0,,7.0,1.0,3.0,1,0,0,0
IB018023,59,Female,Bengaluru,Self_Employed,,742.0,143,,,5.0,17.0,2.0,12.0,1.0,1.0,1,1,1,0
IB033341,23,Male,Surat,Self_Employed,1264600.0,,49,71270.0,0.0886,14.0,22.0,,8.0,0.0,,1,0,0,0
IB009356,35,Female,Hyderabad,Self_Employed,1086400.0,697.0,109,156300.0,-0.028,12.0,24.0,3.0,12.0,1.0,,0,0,1,0
IB026472,52,Female,Navi Mumbai,Self_Employed,830900.0,631.0,183,78470.0,-0.019,4.0,10.0,2.0,5.0,2.0,3.0,1,1,0,0
IB012619,55,Male,Guwahati,Retired,230600.0,723.0,157,12850.0,0.0414,10.0,8.0,2.0,3.0,2.0,4.0,1,0,0,0
IB022254,43,Female,Chennai,Student,190200.0,611.0,133,8750.0,-0.2151,7.0,14.0,2.0,4.0,2.0,,0,0,0,1
IB006064,43,Female,Thane,Salaried,1353800.0,697.0,151,140290.0,0.0787,7.0,18.0,2.0,4.0,1.0,0.0,0,0,0,0
IB030428,64,Female,Bhopal,Business,,617.0,127,62060.0,-0.1025,,,3.0,,0.0,3.0,0,0,0,0
IB032787,50,Male,Ranchi,Business,,700.0,164,26470.0,-0.4886,3.0,15.0,0.0,6.0,,2.0,1,1,0,0
IB015497,57,Male,Bengaluru,Self_Employed,,641.0,115,37690.0,0.101,3.0,14.0,7.0,6.0,1.0,2.0,1,1,0,0
IB038896,39,Male,Mumbai,Retired,346700.0,643.0,108,10100.0,0.0362,6.0,14.0,3.0,12.0,3.0,3.0,1,1,0,0
IB048465,40,Male,Jaipur,Business,1895700.0,696.0,188,,,8.0,16.0,,15.0,1.0,2.0,0,0,0,0
IB033834,31,Male,Guwahati,Salaried,862700.0,552.0,78,3440.0,0.0453,10.0,8.0,3.0,4.0,0.0,4.0,0,1,0,1
IB000905,68,Male,Ahmedabad,Salaried,702600.0,721.0,142,31710.0,-0.1152,,,12.0,,0.0,3.0,0,0,0,0
IB004345,52,Female,Delhi,Business,,723.0,137,36380.0,-0.199,11.0,6.0,3.0,2.0,0.0,2.0,0,0,0,0
IB046719,47,Male,Nashik,Salaried,852400.0,683.0,104,59300.0,0.1555,7.0,8.0,4.0,3.0,1.0,3.0,0,0,0,1
IB022035,65,Female,Bengaluru,Self_Employed,,723.0,155,140850.0,0.0061,2.0,20.0,4.0,10.0,0.0,2.0,1,0,0,0
IB007107,28,Male,Guwahati,Salaried,958900.0,630.0,75,39490.0,-0.0595,8.0,26.0,4.0,5.0,2.0,3.0,0,0,0,1
IB007372,22,Female,Chennai,Self_Employed,,,48,122020.0,-0.0958,11.0,15.0,3.0,11.0,4.0,4.0,0,1,1,0
IB004969,63,Female,Kolkata,Salaried,1525500.0,664.0,160,87640.0,0.0712,5.0,19.0,6.0,8.0,1.0,1.0,1,0,1,0
IB004866,53,Female,Varanasi,Salaried,792400.0,680.0,109,12330.0,-0.64,6.0,6.0,,6.0,4.0,,0,0,0,0
IB041386,27,Female,Ranchi,Business,906900.0,588.0,53,23300.0,-0.3115,11.0,15.0,2.0,9.0,3.0,2.0,1,0,1,0
IB030928,69,Male,Madurai,Salaried,805100.0,591.0,145,25940.0,-0.0835,5.0,12.0,8.0,0.0,1.0,1.0,0,1,1,0
IB017972,53,Female,Amritsar,Student,427900.0,650.0,166,25400.0,0.0084,5.0,11.0,7.0,3.0,0.0,2.0,0,0,0,0
IB022058,49,Female,Mumbai,Self_Employed,,676.0,109,98640.0,-0.0022,9.0,6.0,2.0,2.0,3.0,2.0,0,0,1,0
IB036419,41,Male,Vadodara,Salaried,723600.0,683.0,121,49700.0,-0.1406,9.0,8.0,6.0,5.0,2.0,4.0,0,0,0,0
IB045328,40,Female,Kolkata,Salaried,1195700.0,727.0,178,24850.0,-0.1619,11.0,21.0,2.0,12.0,1.0,2.0,1,0,1,0
IB004642,50,Male,Delhi,Business,962300.0,659.0,160,46700.0,-0.0967,7.0,10.0,,0.0,3.0,3.0,1,0,0,0
IB028903,23,Male,Mumbai,Salaried,594000.0,518.0,53,19700.0,-0.1048,9.0,15.0,,4.0,0.0,1.0,0,0,0,0
IB010775,55,Male,Srinagar,Student,210400.0,580.0,129,12640.0,-0.0391,3.0,8.0,3.0,2.0,2.0,3.0,1,1,0,0
IB047751,70,Female,Kanpur,Salaried,800500.0,643.0,118,20810.0,0.0087,,,4.0,,0.0,3.0,1,0,0,0
IB023000,63,Male,Ludhiana,Student,228200.0,715.0,147,5530.0,-0.0876,,,5.0,,1.0,2.0,0,0,1,0
IB032607,35,Female,Hyderabad,Student,220000.0,608.0,91,7760.0,-0.0817,9.0,11.0,7.0,5.0,1.0,3.0,0,1,0,0
IB012739,32,Female,Kanpur,Retired,742500.0,579.0,115,9650.0,-0.1353,6.0,8.0,2.0,4.0,1.0,2.0,0,0,0,0
IB019298,62,Female,Surat,Student,247100.0,632.0,157,2250.0,-0.4946,5.0,6.0,2.0,2.0,2.0,7.0,0,0,1,0
IB032669,50,Male,Delhi,Business,1214200.0,598.0,89,105850.0,-0.0326,7.0,19.0,4.0,5.0,,2.0,0,0,1,0
IB031761,34,Female,Bengaluru,Business,,649.0,99,141290.0,0.0403,6.0,18.0,2.0,3.0,1.0,3.0,0,0,0,0
IB038489,42,Female,Lucknow,Salaried,803800.0,622.0,150,81450.0,-0.044,11.0,15.0,0.0,4.0,2.0,,1,0,0,1
IB016369,41,Male,Chennai,Self_Employed,,718.0,134,86430.0,0.0624,14.0,14.0,4.0,11.0,1.0,1.0,0,1,1,0
IB014483,59,Male,Hyderabad,Salaried,750700.0,668.0,120,43910.0,-0.1131,6.0,7.0,4.0,5.0,,0.0,0,0,0,0
IB025279,35,Male,Amritsar,Self_Employed,752000.0,723.0,127,68600.0,0.1333,6.0,12.0,4.0,2.0,1.0,2.0,0,0,0,0
IB042450,22,Female,Pimpri-Chinchwad,Salaried,619400.0,558.0,9,20060.0,-0.0569,18.0,16.0,8.0,3.0,3.0,3.0,0,0,1,1
IB003470,49,Male,Bengaluru,Salaried,432600.0,623.0,137,23600.0,0.0384,6.0,9.0,4.0,7.0,1.0,0.0,1,1,1,0
IB020219,23,Female,Faridabad,Business,1020500.0,590.0,34,103070.0,-0.0251,13.0,23.0,,5.0,0.0,1.0,0,0,0,0
IB003783,50,Male,Howrah,Salaried,361800.0,725.0,133,19720.0,0.0469,8.0,8.0,4.0,2.0,0.0,4.0,1,0,1,0
IB001438,57,Female,Mumbai,Salaried,1094400.0,593.0,144,97220.0,0.021,5.0,20.0,8.0,5.0,1.0,,0,0,0,0
IB004793,60,Male,Jaipur,Salaried,454000.0,756.0,122,21650.0,0.1445,6.0,8.0,4.0,2.0,1.0,1.0,0,0,0,0
IB036111,25,Male,Surat,Salaried,752500.0,612.0,5,80190.0,0.1228,14.0,18.0,4.0,7.0,0.0,1.0,1,1,1,0
IB018554,21,Male,Ludhiana,Salaried,683900.0,594.0,11,52490.0,-0.0572,9.0,17.0,2.0,5.0,2.0,1.0,0,1,0,0
IB038810,30,Male,Pune,Salaried,925100.0,620.0,120,22690.0,0.0132,7.0,14.0,7.0,3.0,2.0,1.0,0,0,0,0
IB020644,61,Male,Rajkot,Business,1840400.0,707.0,115,146650.0,-0.1215,5.0,23.0,4.0,10.0,3.0,3.0,1,0,0,0
IB048652,39,Male,Jaipur,Self_Employed,,632.0,127,51820.0,-0.1989,10.0,20.0,3.0,6.0,1.0,1.0,0,1,0,0
IB009119,48,Female,Chennai,Self_Employed,1228000.0,660.0,200,29240.0,-0.0724,11.0,13.0,2.0,10.0,4.0,4.0,1,1,1,0
IB039669,52,Female,Jaipur,Salaried,1061500.0,653.0,120,64770.0,-0.0953,6.0,13.0,4.0,6.0,3.0,4.0,1,1,1,0
IB003917,70,Female,Ahmedabad,Salaried,508600.0,652.0,141,14480.0,0.0225,,,3.0,,0.0,3.0,0,0,0,0
IB014173,63,Female,Chennai,Business,1110400.0,655.0,155,114410.0,-0.0054,,,4.0,,0.0,3.0,0,1,0,0
IB015182,28,Male,Mumbai,Salaried,646800.0,660.0,36,33000.0,0.2001,12.0,12.0,3.0,5.0,2.0,2.0,1,0,1,0
